5	cand	seqlen_q=2048,seqlen_k=8192,packed_ck_ms=20.7551517,staged_ck_ms=7.6287241,staged_speedup=2.7206583,max_abs=0,mean_abs=0,staged_scratch_bytes=83886080
6	cand	seqlen_q=2048,seqlen_k=2048,packed_ck_ms=3.45889091,staged_ck_ms=1.34935498,staged_speedup=2.56336617,max_abs=0,mean_abs=0,staged_scratch_bytes=58720256
6	cand	seqlen_q=2048,seqlen_k=4096,packed_ck_ms=9.53465271,staged_ck_ms=3.12160301,staged_speedup=3.05440903,max_abs=0,mean_abs=0,staged_scratch_bytes=67108864
6	cand	seqlen_q=2048,seqlen_k=6144,packed_ck_ms=14.7479143,staged_ck_ms=5.22218084,staged_speedup=2.82409096,max_abs=0,mean_abs=0,staged_scratch_bytes=75497472
6	cand	seqlen_q=2048,seqlen_k=8192,packed_ck_ms=20.7943573,staged_ck_ms=7.58884287,staged_speedup=2.74012232,max_abs=0,mean_abs=0,staged_scratch_bytes=83886080
6	base	seqlen_q=2048,seqlen_k=2048,packed_ck_ms=3.44602203,staged_ck_ms=1.40780103,staged_speedup=2.44780469,max_abs=6.10351562e-05,mean_abs=5.01400014e-07,staged_scratch_bytes=58720256
6	base	seqlen_q=2048,seqlen_k=4096,packed_ck_ms=9.36085129,staged_ck_ms=3.31944895,staged_speedup=2.8200016,max_abs=1.90734863e-06,mean_abs=9.28949362e-08,staged_scratch_bytes=67108864
6	base	seqlen_q=2048,seqlen_k=6144,packed_ck_ms=14.8414001,staged_ck_ms=5.461308,staged_speedup=2.71755409,max_abs=9.53674316e-07,mean_abs=5.43407547e-08,staged_scratch_bytes=75497472
6	base	seqlen_q=2048,seqlen_k=8192,packed_ck_ms=20.5532341,staged_ck_ms=7.9357729,staged_speedup=2.58994746,max_abs=4.76837158e-07,mean_abs=3.8546015e-08,staged_scratch_bytes=83886080
7	base	seqlen_q=2048,seqlen_k=2048,packed_ck_ms=3.45289493,staged_ck_ms=1.40344,staged_speedup=2.46030807,max_abs=6.10351562e-05,mean_abs=5.01400014e-07,staged_scratch_bytes=58720256
7	base	seqlen_q=2048,seqlen_k=4096,packed_ck_ms=9.41109371,staged_ck_ms=3.37697101,staged_speedup=2.78684473,max_abs=1.90734863e-06,mean_abs=9.28949362e-08,staged_scratch_bytes=67108864
7	base	seqlen_q=2048,seqlen_k=6144,packed_ck_ms=14.8206387,staged_ck_ms=5.34878397,staged_speedup=2.77084255,max_abs=9.53674316e-07,mean_abs=5.43407547e-08,staged_scratch_bytes=75497472
7	base	seqlen_q=2048,seqlen_k=8192,packed_ck_ms=20.7819195,staged_ck_ms=7.78021097,staged_speedup=2.67112541,max_abs=4.76837158e-07,mean_abs=3.8546015e-08,staged_scratch_bytes=83886080
7	cand	seqlen_q=2048,seqlen_k=2048,packed_ck_ms=3.471982,staged_ck_ms=1.35132003,staged_speedup=2.56932616,max_abs=0,mean_abs=0,staged_scratch_bytes=58720256
7	cand	seqlen_q=2048,seqlen_k=4096,packed_ck_ms=9.51898003,staged_ck_ms=3.18688703,staged_speedup=2.98692107,max_abs=0,mean_abs=0,staged_scratch_bytes=67108864
7	cand	seqlen_q=2048,seqlen_k=6144,packed_ck_ms=14.7773209,staged_ck_ms=5.05013609,staged_speedup=2.92612338,max_abs=0,mean_abs=0,staged_scratch_bytes=75497472
7	cand	seqlen_q=2048,seqlen_k=8192,packed_ck_ms=20.9079647,staged_ck_ms=7.60308599,staged_speedup=2.74993134,max_abs=0,mean_abs=0,staged_scratch_bytes=83886080
8	cand	seqlen_q=2048,seqlen_k=2048,packed_ck_ms=3.48573899,staged_ck_ms=1.36639905,staged_speedup=2.55104017,max_abs=0,mean_abs=0,staged_scratch_bytes=58720256
8	cand	seqlen_q=2048,seqlen_k=4096,packed_ck_ms=9.57694244,staged_ck_ms=3.14948606,staged_speedup=3.04079533,max_abs=0,mean_abs=0,staged_scratch_bytes=67108864
